-4.8099,13.064,2.7785
-4.5512,7.9985,2.9306
-4.3501,6.0177,2.1102
-4.1453,6.4263,1.0768
-4.0523,6.5877,1.2726
-3.9758,4.2382,2.6036
-3.8408,-4.7417,2.7246
-3.6862,3.3141,2.9169
-3.1942,3.6132,1.3977
-2.7,3.0239,1.0132
-2.602,1.1233,2.6397
-2.5337,2.2958,1.8479
-2.4625,2.0407,1.6294
-2.2999,4.4108,2.1171
-2.1456,3.417,1.991
-1.8178,-0.52018,2.821
-1.8088,1.8843,1.6513
-1.584,0.54865,1.693
-1.1664,4.9059,2.5735
-1.0794,4.8561,2.547
-0.79297,2.8876,2.0796
-0.75648,6.1187,1.7799
-0.7049,3.7859,1.8133
-0.63326,2.409,1.9491
-0.3864,5.3291,2.0238
-0.29123,4.8207,1.0038
-0.12291,6.6513,2.3058
-0.015879,3.4645,1.0487
0.2195,4.7947,2.0806
0.42745,1.9138,2.9367
0.45315,2.2848,2.3716
0.56901,0.41417,2.1026
0.59246,4.3687,1.915
0.63512,3.6204,1.3711
1.3517,4.9242,2.7254
1.4141,4.0906,1.1382
1.5557,5.9795,1.1519
2.2104,3.951,2.9276
3.0493,5.1654,2.742
3.3218,5.7634,1.1248
3.3231,7.9706,2.3744
3.8003,2.9408,2.2198
3.8019,7.9695,1.2285
4.1654,5.9981,2.2049
4.3119,4.3585,2.1609
4.5296,10.444,2.1215
4.6079,11.242,1.7639
4.7077,8.0617,2.7853
4.7663,7.3504,1.3011
4.9404,10.462,1.3308
